cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Gursarai,M.B.,9,Uttar Pradesh,36,Jhansi
Guru Har Sahai,M.Cl.,3,Punjab,11,Firozpur
Guruvayoor,M,32,Kerala,7,Thrissur
Guskara,M,19,West Bengal,9,Barddhaman 
Guwahati,M.Corp.,18,Assam,6,Kamrup
Gwalior,M.Corp.,23,Madhya Pradesh,4,Gwalior
Gyalshing,N.T.A,11,Sikkim,2,West
Gyanpur,N.P.,9,Uttar Pradesh,68,Sant Ravidas Nagar
Habibpur,C.T.,10,Bihar,22,Bhagalpur
Habra,M,19,West Bengal,11,North Twentyfour Parganas
Hadgaon,M.Cl.,27,Maharashtra,15,Nanded
Hafizpur,C.T.,9,Uttar Pradesh,61,Azamgarh
Haflong,T.C.,18,Assam,20,North Cachar Hills
Haidergarh,N.P.,9,Uttar Pradesh,46,Barabanki
Hailakandi,M.B.,18,Assam,23,Hailakandi
Haileymandi,M.C,6,Haryana,18,Gurgaon
Hajan,N.A.C.,1,Jammu & Kashmir,2,Baramula
Hajipur,C.T.,3,Punjab,5,Hoshiarpur
Hajipur,M,10,Bihar,18,Vaishali
Hajira INA,I.N.A.,24,Gujarat,22,Surat
Haldaur,M.B.,9,Uttar Pradesh,3,Bijnor
Haldia,M,19,West Bengal,15,Medinipur 
Haldibari,M,19,West Bengal,3,Koch Bihar 
Haldwani-cum-Kathgodam,M.B.,5,Uttaranchal,11,Nainital
Halisahar,M,19,West Bengal,11,North Twentyfour Parganas
Haliyal,T.P.,29,Karnataka,10,Uttara Kannada
Halol,M,24,Gujarat,17,Panch Mahals
Haludbani,C.T.,20,Jharkhand,18,Purbi Singhbhum
Halvad,M,24,Gujarat,8,Surendranagar
Hamirpur,M.Cl.,2,Himachal Pradesh,6,Hamirpur
Hamirpur,M.B.,9,Uttar Pradesh,38,Hamirpur
Hamren,T.C.,18,Assam,19,Karbi Anglong
Handia,N.P.,9,Uttar Pradesh,45,Allahabad 
Handiaya,N.P.,3,Punjab,16,Sangrur
Handwara,N.A.C.,1,Jammu & Kashmir,1,Kupwara
Hangal,T.M.C,29,Karnataka,11,Haveri
Hansi,M.Cl.,6,Haryana,12,Hisar
Hanumana,N.P.,23,Madhya Pradesh,14,Rewa
Hanumangarh,M,8,Rajasthan,2,Hanumangarh
Hanumanthampatti,T.P.,33,Tamil Nadu,25,Theni
Haora,M.Crop.,19,West Bengal,16,Haora 
Hapur,M.B.,9,Uttar Pradesh,9,Ghaziabad
Harda,M,23,Madhya Pradesh,36,Harda
Hardoi,M.B.,9,Uttar Pradesh,25,Hardoi
Harduaganj,N.P.,9,Uttar Pradesh,12,Aligarh
Hardwar,M.B.,5,Uttaranchal,13,Hardwar
Hargaon,N.P.,9,Uttar Pradesh,24,Sitapur
Harharia Chak,C.T.,19,West Bengal,7,Murshidabad 
Hariana,M.Cl.,3,Punjab,5,Hoshiarpur
Harihar,C.M.C,29,Karnataka,14,Davanagere
Hariharpur,N.P.,9,Uttar Pradesh,56,Sant Kabir Nagar
Harij,M,24,Gujarat,3,Patan
Haripur,C.T.,19,West Bengal,9,Barddhaman 
Harishpur,C.T.,19,West Bengal,9,Barddhaman 
Harpalpur,N.P.,23,Madhya Pradesh,9,Chhatarpur
Harpanahalli,T.P.,29,Karnataka,14,Davanagere
Harrai,N.P.,23,Madhya Pradesh,43,Chhindwara
Harraiya,N.P.,9,Uttar Pradesh,55,Basti
Harsud,N.P.,23,Madhya Pradesh,29,East Nimar
Harur,T.P.,33,Tamil Nadu,5,Dharmapuri
Harveypatti,T.P.,33,Tamil Nadu,24,Madurai
Hasanpur,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
Hasayan,N.P.,9,Uttar Pradesh,13,Hathras
Hassan,C.M.C,29,Karnataka,23,Hassan
Hassanpur,M.C.,6,Haryana,19,Faridabad
Hastinapur,N.P.,9,Uttar Pradesh,7,Meerut
Hastsal,C.T.,7,Delhi *,7,West
Hata,N.P.,9,Uttar Pradesh,59,Kushinagar
Hatgachha,C.T.,19,West Bengal,16,Haora 
Hathin,M.C.,6,Haryana,19,Faridabad
Hathras,M.B.,9,Uttar Pradesh,13,Hathras
Hatibandha,C.T.,21,Orissa,5,Sundargarh
Hatkachora,C.T.,22,Chhattisgarh,15,Bastar
Hatod,N.P.,23,Madhya Pradesh,26,Indore
Hatpipalya,N.P.,23,Madhya Pradesh,23,Dewas
Hatsimla,C.T.,19,West Bengal,9,Barddhaman 
Hatta,M,23,Madhya Pradesh,12,Damoh
Hatti,C.T.,29,Karnataka,6,Raichur
Hatti Gold Mines,N.A.C,29,Karnataka,6,Raichur
Haveri,T.M.C,29,Karnataka,11,Haveri
Hazaribag,M,20,Jharkhand,4,Hazaribag
Hebbagodi,C.T.,29,Karnataka,20,Bangalore
Hebbalu,C.T.,29,Karnataka,26,Mysore
Heggadadevanakote,T.P.,29,Karnataka,26,Mysore
Herbertpur,N.P.,5,Uttaranchal,5,Dehradun
Heriok,N.P.,14,Manipur,5,Thoubal
Herohalli,C.T.,29,Karnataka,20,Bangalore
Hesla,C.T.,20,Jharkhand,4,Hazaribag
Highways,T.P.,33,Tamil Nadu,25,Theni
Hijuli,C.T.,19,West Bengal,14,Puruliya
Hilsa,N.A.,10,Bihar,27,Nalanda
Himatnagar,M,24,Gujarat,5,Sabar Kantha
Hindalgi,C.T.,29,Karnataka,1,Belgaum
Hindaun,M,8,Rajasthan,9,Karauli
Hindoria,N.P.,23,Madhya Pradesh,12,Damoh
Hindupur,M,28,Andhra Pradesh,22,Anantapur
Hindustan Paper Corporation Ltd. Township Area Panchgram,C.T.,18,Assam,23,Hailakandi
Hindusthan Cables Town,C.T.,19,West Bengal,9,Barddhaman 
Hinganghat,M.Cl.,27,Maharashtra,8,Wardha
Hingoli,M.Cl.,27,Maharashtra,16,Hingoli
Hinjilicut,N.A.C.,21,Orissa,19,Ganjam
Hirakud,N.A.C.,21,Orissa,3,Sambalpur
Hiranagar,N.A.C.,1,Jammu & Kashmir,14,Kathua
Hirapur,C.T.,23,Madhya Pradesh,45,Balaghat
Hirekerur,T.P.,29,Karnataka,11,Haveri
Hiriyur,T.M.C,29,Karnataka,13,Chitradurga
Hisar,M.Cl.,6,Haryana,12,Hisar
Hisua,N.A.,10,Bihar,36,Nawada
Hnahthial,C.T.,15,Mizoram,6,Lunglei
Hodal,M.C.,6,Haryana,19,Faridabad
Hojai,M.B.,18,Assam,10,Nagaon
Holalkere,T.P.,29,Karnataka,13,Chitradurga
Holenarsipur,T.M.C,29,Karnataka,23,Hassan
Homnabad,T.M.C,29,Karnataka,5,Bidar
Honavar,T.P.,29,Karnataka,10,Uttara Kannada
Honnali,T.P.,29,Karnataka,14,Davanagere
Hoovina Hadagalli,T.P.,29,Karnataka,12,Bellary
Hosabettu,C.T.,32,Kerala,1,Kasaragod
Hosanagara,T.P.,29,Karnataka,15,Shimoga
Hosdurga,T.P.,29,Karnataka,13,Chitradurga
Hoshangabad,M,23,Madhya Pradesh,37,Hoshangabad
Hoshiarpur,M.Cl.,3,Punjab,5,Hoshiarpur
Hoskote,T.M.C,29,Karnataka,21,Bangalore Rural
Hospet,C.M.C,29,Karnataka,12,Bellary
Hosur,M,33,Tamil Nadu,5,Dharmapuri
Howli,T.C.,18,Assam,5,Barpeta
Howraghat,T.C.,18,Assam,19,Karbi Anglong
Hubbathala,C.T.,33,Tamil Nadu,11,The Nilgiris
Hubli-Dharwad,M.Corp.,29,Karnataka,9,Dharwad
Hugli-Chinsurah,M,19,West Bengal,12,Hugli 
Hukeri,T.P.,29,Karnataka,1,Belgaum
Huligal,T.P.,33,Tamil Nadu,11,The Nilgiris
Hunasamaranahalli,C.T.,29,Karnataka,20,Bangalore
Hungund,T.P.,29,Karnataka,2,Bagalkot
Hunsur,T.M.C,29,Karnataka,26,Mysore
Hupari,C.T.,27,Maharashtra,34,Kolhapur
