cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Jorhat,O.G.,18,Assam,17,Jorhat
Joshimath,M.B.,5,Uttaranchal,2,Chamoli
Joshipura,M,24,Gujarat,12,Junagadh
Jot Kamal,C.T.,19,West Bengal,7,Murshidabad 
Joura,N.P.,23,Madhya Pradesh,2,Morena
Jourian,N.A.C.,1,Jammu & Kashmir,13,Jammu
Joya,N.P.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
Jubbal,N.P.,2,Himachal Pradesh,11,Shimla
Jugial,C.T.,3,Punjab,1,Gurdaspur
Jugsalai,M,20,Jharkhand,18,Purbi Singhbhum
Julana,M.C.,6,Haryana,9,Jind
Junagadh,M,24,Gujarat,12,Junagadh
Junagarh,N.A.C.,21,Orissa,26,Kalahandi
Junnar,M.Cl.,27,Maharashtra,25,Pune
Jutogh,C.B.,2,Himachal Pradesh,11,Shimla
Jyoti Khuria,N.P.,9,Uttar Pradesh,18,Mainpuri
Kabnur,C.T.,27,Maharashtra,34,Kolhapur
Kabrai,N.P.,9,Uttar Pradesh,39,Mahoba
Kachhauna Patseni,N.P.,9,Uttar Pradesh,25,Hardoi
